ProductID,TrendStartDate,TrendEndDate,TrendScore
1,2024-02-01,2024-02-15,8.5
2,2024-02-01,2024-02-15,9.2
3,2024-02-01,2024-02-15,7.8
4,2024-02-01,2024-02-15,6.4
5,2024-02-01,2024-02-15,8.9
6,2024-02-01,2024-02-15,9.5
7,2024-02-01,2024-02-15,7.2
8,2024-02-01,2024-02-15,6.9
9,2024-02-01,2024-02-15,8.1
10,2024-02-01,2024-02-15,7.6
11,2024-02-01,2024-02-15,9.0
12,2024-02-01,2024-02-15,8.7
13,2024-02-01,2024-02-15,7.3
14,2024-02-01,2024-02-15,6.8
15,2024-02-01,2024-02-15,9.8
16,2024-02-01,2024-02-15,9.1
17,2024-02-01,2024-02-15,8.2
18,2024-02-01,2024-02-15,7.7
19,2024-02-01,2024-02-15,7.5
20,2024-02-01,2024-02-15,8.3
21,2024-02-01,2024-02-15,9.4
22,2024-02-01,2024-02-15,8.0
23,2024-02-01,2024-02-15,7.1
24,2024-02-01,2024-02-15,7.9
25,2024-02-01,2024-02-15,8.6
26,2024-02-01,2024-02-15,9.7
27,2024-02-01,2024-02-15,8.4
28,2024-02-01,2024-02-15,7.4
29,2024-02-01,2024-02-15,6.5
30,2024-02-01,2024-02-15,6.2
31,2024-02-01,2024-02-15,8.8
32,2024-02-01,2024-02-15,7.0
33,2024-02-01,2024-02-15,6.7
34,2024-02-01,2024-02-15,9.3
35,2024-02-01,2024-02-15,6.6
36,2024-02-01,2024-02-15,7.6
37,2024-02-01,2024-02-15,8.3
38,2024-02-01,2024-02-15,7.2
39,2024-02-01,2024-02-15,9.5
40,2024-02-01,2024-02-15,8.1
41,2024-02-01,2024-02-15,6.9
42,2024-02-01,2024-02-15,7.8
43,2024-02-01,2024-02-15,8.7
44,2024-02-01,2024-02-15,6.4
45,2024-02-01,2024-02-15,9.2
46,2024-02-01,2024-02-15,8.0
47,2024-02-01,2024-02-15,7.7
48,2024-02-01,2024-02-15,8.9
49,2024-02-01,2024-02-15,9.4
50,2024-02-01,2024-02-15,6.8
51,2024-02-01,2024-02-15,7.3
52,2024-02-01,2024-02-15,7.1
53,2024-02-01,2024-02-15,9.0
54,2024-02-01,2024-02-15,6.5
55,2024-02-01,2024-02-15,6.7
56,2024-02-01,2024-02-15,8.2
57,2024-02-01,2024-02-15,7.5
58,2024-02-01,2024-02-15,8.6
59,2024-02-01,2024-02-15,6.2
60,2024-02-01,2024-02-15,8.8
61,2024-02-01,2024-02-15,7.4
62,2024-02-01,2024-02-15,6.6
63,2024-02-01,2024-02-15,8.5
64,2024-02-01,2024-02-15,7.9
65,2024-02-01,2024-02-15,6.3
66,2024-02-01,2024-02-15,7.0
67,2024-02-01,2024-02-15,9.7
68,2024-02-01,2024-02-15,8.4
69,2024-02-01,2024-02-15,7.6
70,2024-02-01,2024-02-15,6.0
71,2024-02-01,2024-02-15,9.1
72,2024-02-01,2024-02-15,8.1
73,2024-02-01,2024-02-15,6.7
74,2024-02-01,2024-02-15,7.3
75,2024-02-01,2024-02-15,8.9
76,2024-02-01,2024-02-15,7.2
77,2024-02-01,2024-02-15,6.4
78,2024-02-01,2024-02-15,8.6
79,2024-02-01,2024-02-15,9.2
80,2024-02-01,2024-02-15,7.8
81,2024-02-01,2024-02-15,6.1
82,2024-02-01,2024-02-15,9.5
83,2024-02-01,2024-02-15,7.0
84,2024-02-01,2024-02-15,6.9
85,2024-02-01,2024-02-15,8.3
86,2024-02-01,2024-02-15,7.7
87,2024-02-01,2024-02-15,6.5
88,2024-02-01,2024-02-15,9.3
89,2024-02-01,2024-02-15,7.4
90,2024-02-01,2024-02-15,6.8
91,2024-02-01,2024-02-15,8.2
92,2024-02-01,2024-02-15,7.1
93,2024-02-01,2024-02-15,9.4
94,2024-02-01,2024-02-15,7.9
95,2024-02-01,2024-02-15,6.6
96,2024-02-01,2024-02-15,8.0
97,2024-02-01,2024-02-15,7.5
98,2024-02-01,2024-02-15,9.8
99,2024-02-01,2024-02-15,6.3
100,2024-02-01,2024-02-15,6.2